AGREGACAO;MUNICIPIO;RECONHECIMENTO;GESTOR;TIPO;FONTE;EIXO;SUBEIXO;FINALIDADE;PAGO
Municipal;LAVRAS DO SUL;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;64.000,00
Municipal;LAVRAS DO SUL;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;492.016,00
Municipal;LAVRAS DO SUL;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;28.483,50
Municipal;LAVRAS DO SUL;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;2.439.465,56
Municipal;LAVRAS DO SUL;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;20.032,78
Municipal;LAVRAS DO SUL;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;972.756,90
Municipal;LAVRAS DO SUL;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;304.553,00
Municipal;LAVRAS DO SUL;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;61.672,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;816,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;209.158,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;9.600,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;6.688,60
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;22.800,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;143.317,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;942.033,39
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;676.181,22
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;55.000,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;81.600,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;586.295,71
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;2.798.942,43
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;2.681,54
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;967.940,32
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;147.803,00
Municipal;LIBERATO SALZANO;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;17.609,00
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;11.322,00
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;170.149,00
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;42.770,00
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;16.927,40
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;248.780,00
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;156.220,11
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;1.444.800,00
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;1.162.800,00
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;822.301,02
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;10.859,30
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;3.913.932,99
Municipal;LINDOLFO COLLOR;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;622.334,00
Municipal;LINHA NOVA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;408,00
Municipal;LINHA NOVA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;10.610,00
Municipal;LINHA NOVA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;750,00
Municipal;LINHA NOVA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;51.752,00
Municipal;LINHA NOVA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;44.410,00
Municipal;LINHA NOVA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;5.100,00
Municipal;LINHA NOVA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;653.151,40
Municipal;LINHA NOVA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;62.722,00
Municipal;MACAMBARA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;7.344,00
Municipal;MACAMBARA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;440.750,00
Municipal;MACAMBARA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;49.622,00
Municipal;MACAMBARA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;221.968,00
Municipal;MACAMBARA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;6.839,93
Municipal;MACAMBARA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;146.092,95
Municipal;MACAMBARA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;89.909,00
Municipal;MACHADINHO;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;2.448,00
Municipal;MACHADINHO;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;118.218,00
Municipal;MACHADINHO;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;4.475,00
Municipal;MACHADINHO;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;277.534,00
Municipal;MACHADINHO;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;118.500,00
Municipal;MACHADINHO;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;45.000,00
Municipal;MACHADINHO;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;116.012,80
Municipal;MACHADINHO;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;13.894,60
Municipal;MACHADINHO;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;1.014.340,82
Municipal;MACHADINHO;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;238.435,00
Municipal;MAMPITUBA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;2.040,00
Municipal;MAMPITUBA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;160.362,00
Municipal;MAMPITUBA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;9.720,00
Municipal;MAMPITUBA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;5.926,00
Municipal;MAMPITUBA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;80.666,00
Municipal;MAMPITUBA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;43.717,85
Municipal;MAMPITUBA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;557.626,34
Municipal;MAMPITUBA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;3.214,92
Municipal;MAMPITUBA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;36.302,13
Municipal;MAMPITUBA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;68.732,00
Municipal;MAMPITUBA;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;8.051,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;4.080,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;347.765,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;14.950,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;7.236,40
Municipal;MANOEL VIANA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;7.600,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;292.915,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;753.403,43
Municipal;MANOEL VIANA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;320.288,38
Municipal;MANOEL VIANA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;782.579,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Empresas;Programa Emergencial de Acesso a Credito (PEAC);44.739,29
Municipal;MANOEL VIANA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;193.800,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;316.460,80
Municipal;MANOEL VIANA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;2.744.231,24
Municipal;MANOEL VIANA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;10.854,69
Municipal;MANOEL VIANA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;996.655,97
Municipal;MANOEL VIANA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;202.886,00
Municipal;MANOEL VIANA;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;60.628,00
Municipal;MAQUINE;Estado de Calamidade Publica;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;18.258,00
Municipal;MAQUINE;Estado de Calamidade Publica;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;376.937,00
Municipal;MAQUINE;Estado de Calamidade Publica;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do BPC;194.856,00
Municipal;MAQUINE;Estado de Calamidade Publica;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;33.970,00
Municipal;MAQUINE;Estado de Calamidade Publica;MDS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Assistencia Social;Seguranca alimentar e assistencia social: PAA, cestas, abrigos e parcela extra SUAS;32.298,00
Municipal;MAQUINE;Estado de Calamidade Publica;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;10.204,40
Municipal;MAQUINE;Estado de Calamidade Publica;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;76.000,00
Municipal;MAQUINE;Estado de Calamidade Publica;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;354.968,00
Municipal;MAQUINE;Estado de Calamidade Publica;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;71.094,54
Municipal;MAQUINE;Estado de Calamidade Publica;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;1.099.400,00
Municipal;MAQUINE;Estado de Calamidade Publica;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;1.289.288,98
Municipal;MAQUINE;Estado de Calamidade Publica;MF;Recursos Novos;Orcamento Federal;Medidas para os Municipios;FPM;Fundo de Participacao dos Municipios (FPM);1.163.250,91
Municipal;MAQUINE;Estado de Calamidade Publica;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;1.045.500,00
Municipal;MAQUINE;Estado de Calamidade Publica;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;1.211.211,60
Municipal;MAQUINE;Estado de Calamidade Publica;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;3.195.629,50
Municipal;MAQUINE;Estado de Calamidade Publica;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;19.543,27
Municipal;MAQUINE;Estado de Calamidade Publica;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Atencao Primaria - custeio de servicos: aumento demanda;156.892,26
Municipal;MAQUINE;Estado de Calamidade Publica;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Vigilancia epidemiologica: rede de frios, computadores e vacinas;59.424,00
Municipal;MAQUINE;Estado de Calamidade Publica;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;962.326,99
Municipal;MAQUINE;Estado de Calamidade Publica;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;250.195,00
Municipal;MAQUINE;Estado de Calamidade Publica;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;86.634,00
Municipal;MARATA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;1.122,00
Municipal;MARATA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;34.436,00
Municipal;MARATA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;2.060,00
Municipal;MARATA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;6.295,60
Municipal;MARATA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;22.800,00
Municipal;MARATA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;104.373,00
Municipal;MARATA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;421.682,70
Municipal;MARATA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;21.000,00
Municipal;MARATA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;229.500,00
Municipal;MARATA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;2.331.580,64
Municipal;MARATA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;1.387.217,38
Municipal;MARATA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;772.551,65
Municipal;MARATA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;128.402,00
Municipal;MARATA;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;11.664,00
Municipal;MARAU;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;19.176,00
Municipal;MARAU;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;618.049,00
Municipal;MARAU;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;231.876,00
Municipal;MARAU;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;85.613,00
Municipal;MARAU;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;3.645.458,00
Municipal;MARAU;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;21.487.219,05
Municipal;MARAU;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;5.850.440,46
Municipal;MARAU;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;12.045.269,84
Municipal;MARAU;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Empresas;Programa Emergencial de Acesso a Credito (PEAC);937.400,00
Municipal;MARAU;Situacao de Emergencia;MF;Recursos Novos;Orcamento Federal;Apoio as Empresas;Credito para Empresas;Credito a empresas de todos os portes via Fundo Social;3.385.700,00
Municipal;MARAU;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;76.500,00
Municipal;MARAU;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;195.720,00
Municipal;MARAU;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;20.427.979,89
Municipal;MARAU;Situacao de Emergencia;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Vigilancia epidemiologica: rede de frios, computadores e vacinas;79.213,00
Municipal;MARAU;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;26.497.402,14
Municipal;MARAU;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;3.863.600,00
Municipal;MARAU;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;943.030,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;3.162,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;66.819,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;1.760,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;11.983,20
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;275.822,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;855.566,14
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;111.000,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;611.165,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;45.900,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;200.347,10
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;2.672.533,82
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;5.445,18
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;1.011.169,87
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;199.476,00
Municipal;MARCELINO RAMOS;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;43.989,00
Municipal;MARIANA PIMENTEL;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;3.570,00
Municipal;MARIANA PIMENTEL;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;196.225,00
Municipal;MARIANA PIMENTEL;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;2.050,00
